;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1941045530;20.03.2018;TAKEDA VENTURES INC.;ARIX BIOSCIENCE PLC;GB;6799;Capital Increase 28.651%
2.;1941118881;08.08.2018;TAKEDA VENTURES INC.;AMBYS MEDICINES INC.;US;8731;Minority stake unknown %
3.;1941088632;31.05.2018;TAKEDA VENTURES INC.;CORTEXYME INC.;US;8731;Minority stake unknown %
4.;1941075678;30.04.2018;TAKEDA VENTURES INC.;CRESCENDO BIOLOGICS LTD;GB;8731;Minority stake unknown %
5.;1941118880;08.08.2018;TAKEDA VENTURES INC.;AMBYS MEDICINES INC.;US;8731;Minority stake unknown %
6.;1939003875;11.12.2017;TAKEDA VENTURES INC.;HOOKIPA BIOTECH GMBH;AT;2834 / 8731;Minority stake unknown %
7.;1941011180;06.12.2017;TAKEDA VENTURES INC.;OBSIDIAN THERAPEUTICS INC.;US;8731;Minority stake unknown %
8.;1909637296;04.10.2017;TAKEDA VENTURES INC.;PALLEON PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
9.;1601430491;17.12.2012;TAKEDA VENTURES INC.;NAUREX INC.;US;2834 / 8731;Minority stake unknown %
10.;339594;28.04.2005;TAKEDA VENTURES INC.;RECEPTOR BIOLOGIX INC.;US;2834 / 8731;Minority stake unknown %
11.;409163;31.01.2007;TAKEDA VENTURES INC.;SYMPHOGEN A/S;DK;2834 / 8731;Minority stake unknown %
12.;383874;06.10.2005;TAKEDA VENTURES INC.;SERENEX INC.;US;2834 / 8731;Minority stake unknown %
13.;1909037277;04.11.2013;TAKEDA VENTURES INC.;HOOKIPA BIOTECH GMBH;AT;2834 / 8731;Minority stake unknown %
14.;551629;28.06.2007;TAKEDA VENTURES INC.;SERENEX INC.;US;2834 / 8731;Minority stake unknown %
15.;1909579827;15.05.2017;TAKEDA VENTURES INC.;BIOMX LTD;IL;8731;Minority stake unknown %
16.;1601387242;16.07.2012;TAKEDA VENTURES INC.;JUVENTAS THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
17.;1601491807;27.06.2013;TAKEDA VENTURES INC.;HEPTARES THERAPEUTICS LTD;GB;2834 / 8731;Minority stake unknown %
18.;1601270449;11.05.2011;TAKEDA VENTURES INC.;NAUREX INC.;US;2834 / 8731;Minority stake unknown %
19.;1601425631;29.11.2012;TAKEDA VENTURES INC.;ARMAGEN TECHNOLOGIES INC.;US;2834 / 8731;Minority stake unknown %
20.;1941095481;14.06.2018;TAKEDA VENTURES INC.;STRIDEBIO LLC;US;8731;Minority stake unknown %
21.;419160;13.02.2006;TAKEDA VENTURES INC.;LECTUS THERAPEUTICS LTD;GB;2834 / 8731;Minority stake unknown %
22.;1601123997;14.10.2009;TAKEDA VENTURES INC.;ENVOY THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
23.;268238;02.08.2004;TAKEDA VENTURES INC.;SERENEX INC.;US;2834 / 8731;Minority stake unknown %
24.;1941109867;17.07.2018;TAKEDA VENTURES INC.;PRESAGE BIOSCIENCES INC.;US;3841;Minority stake unknown %
25.;478871;12.09.2006;TAKEDA VENTURES INC.;XENON PHARMACEUTICALS INC.;CA;2834 / 8731;Minority stake unknown %
26.;1601263098;11.04.2011;TAKEDA VENTURES INC.;HEPTARES THERAPEUTICS LTD;GB;2834 / 8731;Minority stake unknown %
27.;1601034308;02.10.2007;TAKEDA VENTURES INC.;CELLCENTRIC LTD;GB;8731;Minority stake unknown %
28.;1941014632;15.12.2017;TAKEDA VENTURES INC.;UNIVERCELLS SA;BE;8731;Minority stake unknown %
29.;1909300439;23.10.2015;TAKEDA VENTURES INC.;UNIVERCELLS SA;BE;8731;Minority stake unknown %
30.;1909292607;30.09.2015;TAKEDA VENTURES INC.;ENCYCLE THERAPEUTICS INC.;CA;2834 / 8731;Minority stake unknown %
31.;1601120336;09.03.2009;TAKEDA VENTURES INC.;TRANSGENERON THERAPEUTICS, INC.;US;2834 / 8731;Minority stake unknown %
32.;601725;11.12.2007;TAKEDA VENTURES INC.;CURIDIUM MEDICA PLC;GB;7322 / 7323 / 7334 / 7338 / 7389;Capital Increase 1.846%
33.;1601122726;30.07.2007;TAKEDA VENTURES INC.;PATRYS LTD;AU;2834 / 8731;Capital Increase unknown stake %
34.;245821;06.05.2004;TAKEDA VENTURES INC.;LECTUS THERAPEUTICS LTD;GB;2834 / 8731;Minority stake unknown %
35.;1601160907;17.02.2010;TAKEDA VENTURES INC.;DOMAINEX LTD;GB;2834 / 8731;Minority stake unknown %
36.;1601257799;14.03.2011;TAKEDA VENTURES INC.;CELLCENTRIC LTD;GB;8731;Minority stake unknown %
37.;1601274388;09.05.2011;TAKEDA VENTURES INC.;FATE THERAPEUTICS INC.;US;2834 / 8731;Minority stake unknown %
38.;1601361204;27.06.2011;TAKEDA VENTURES INC.;REDWOOD BIOSCIENCE INC.;US;2834 / 8731;Minority stake unknown %
39.;1909276166;20.08.2015;TAKEDA VENTURES INC.;PRESAGE BIOSCIENCES INC.;US;3841;Minority stake unknown %
