;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;579415;30.08.2007;TATA CAPITAL LTD;DEVELOPMENT CREDIT BANK LTD;IN;6021 / 6029
2.;617859;28.01.2008;TATA CAPITAL LTD;QUIKJET CARGO AIRLINES PVT LTD;IN;4512 / 4522
3.;1601022021;01.09.2008;TATA CAPITAL LTD;VANU INC.;US;3661 / 3663 / 3669 / 7371
4.;1601033051;17.11.2008;TATA CAPITAL LTD;INTERNATIONAL ASSET RECONSTRUCTION COMPANY PVT LTD;IN;6282 / 6799
5.;1601074434;17.12.2008;TATA CAPITAL LTD;STEEL STRIPS WHEELS LTD;IN;3312 / 3313 / 3399 / 3714
6.;1603047900;09.12.2009;TATA CAPITAL LTD;KCP LTD, THE;IN;1629 / 2062 / 3241 / 4911 / 7373
7.;1633013044;18.10.2010;TATA CAPITAL LTD;COMMERCIAL ENGINEERS & BODY BUILDERS CO., LTD;IN;3711 / 3743
8.;1633031982;02.05.2011;TATA CAPITAL LTD;TATA TECHNOLOGIES LTD;IN;7371 / 7372 / 7389 / 8711
9.;1633054888;30.11.2011;TATA CAPITAL LTD;ROOTS CORPORATION LTD;IN;7011 / 7041
10.;1633107424;30.11.2012;TATA CAPITAL LTD;PLUSS POLYMERS PVT LTD;IN;2671 / 2821 / 3081 / 3089 / 8731
11.;1907069509;23.01.2013;TATA CAPITAL LTD;MARCK BIOSCIENCES LTD;IN;2834
12.;1633117072;14.02.2013;TATA CAPITAL LTD;STAR HEALTH AND ALLIED INSURANCE CO., LTD;IN;6321 / 6324 / 6399
13.;1633119460;06.03.2013;TATA CAPITAL LTD;MCNALLY BHARAT ENGINEERING CO., LTD;IN;1623 / 1629 / 8711
14.;1907001358;08.07.2013;TATA CAPITAL LTD;PLUSS POLYMERS PVT LTD;IN;2671 / 2821 / 3081 / 3089 / 8731
15.;1907001700;10.07.2013;TATA CAPITAL LTD;ANOOSMAR TECHNOLOGIES PVT LTD;IN;7371 / 7372
16.;1907003937;14.08.2013;TATA CAPITAL LTD;JANALAKSHMI FINANCIAL SERVICES PVT LTD;IN;6021 / 6029 / 6141 / 6159
17.;1907014528;20.09.2013;TATA CAPITAL LTD;IFMR RURAL CHANNELS AND SERVICES PVT LTD;IN;6019 / 6035 / 6036 / 6099 / 6141 / 6159 / 6282 / 6311 / 6321 / 6324 / 6331 / 6351 / 6399 / 6799
18.;1907014368;24.10.2013;TATA CAPITAL LTD;MITRA BIOTECH PVT LTD;IN;8071 / 8731
19.;1907201112;01.11.2013;TATA CAPITAL LTD;HOME FIRST FINANCE COMPANY INDIA PVT LTD;IN;6162
20.;1633083204;27.03.2014;TATA CAPITAL LTD;VARROC ENGINEERING PVT LTD;IN;3089 / 3544 / 3629 / 3643 / 3699 / 3714
21.;1647005184;27.03.2014;TATA CAPITAL LTD;SANDOR NEPHRO SERVICES PVT LTD;IN;8092
22.;1907010266;16.07.2014;TATA CAPITAL LTD;SHRIRAM PROPERTIES PVT LTD;IN;6552
23.;1907064885;23.09.2014;TATA CAPITAL LTD;STANDARD GREASES AND SPECIALITIES PVT LTD;IN;2992
24.;1907108051;07.07.2015;TATA CAPITAL LTD;NEAREX PTE LTD;SG;6019 / 6099
25.;1907135034;05.01.2016;TATA CAPITAL LTD;ALEF MOBITECH SOLUTIONS PVT LTD;IN;7371 / 7372
26.;1907157652;10.03.2016;TATA CAPITAL LTD;SAI LIFE SCIENCES LTD;IN;2834 / 8731
27.;1907156894;16.05.2016;TATA CAPITAL LTD;AMANTA HEALTHCARE LTD;IN;2834
28.;1907171068;29.08.2016;TATA CAPITAL LTD;MITRA BIOTECH PVT LTD;IN;8071 / 8731
29.;1907215079;04.05.2017;TATA CAPITAL LTD;BRINTON PHARMACEUTICALS LTD;IN;2834
30.;1907248511;30.09.2017;TATA CAPITAL LTD;LENDINGKART FINANCE LTD;IN;6159
31.;1907102101;;TATA CAPITAL LTD;TVS LOGISTICS SERVICES LTD;IN;4731
