;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1633107745;24.05.2013;TELSTRA VENTURES;HEALTHENGINE PTY LTD;AU;7374
2.;1601489667;25.06.2013;TELSTRA VENTURES;KONY SOLUTIONS INC.;US;7371 / 7372 / 7374
3.;1909051507;11.12.2013;TELSTRA VENTURES;OOYALA INC.;US;7372 / 7374
4.;1909108760;28.05.2014;TELSTRA VENTURES;MATRIXX SOFTWARE INC.;US;7374
5.;1909114741;17.06.2014;TELSTRA VENTURES;KONY SOLUTIONS INC.;US;7371 / 7372 / 7374
6.;1909149203;22.09.2014;TELSTRA VENTURES;DOCUSIGN INC.;US;7371 / 7372 / 7374
7.;1907068358;15.10.2014;TELSTRA VENTURES;ADNEAR PTE LTD;SG;7374
8.;1907073875;19.11.2014;TELSTRA VENTURES;BIGCOMMERCE PTY LTD;AU;7372 / 7374
9.;1941081576;19.11.2014;TELSTRA VENTURES;BIGCOMMERCE INC.;US;7372 / 7374
10.;1907077278;10.12.2014;TELSTRA VENTURES;PANVIVA PTY LTD;AU;7372 / 7374
11.;1909204279;25.02.2015;TELSTRA VENTURES;ZIMPERIUM INC.;US;7372 / 7374
12.;1907092612;20.03.2015;TELSTRA VENTURES;GORILLA TECHNOLOGY GROUP INC.;TW;7374
13.;1909393165;20.01.2016;TELSTRA VENTURES;INSTART LOGIC INC.;US;7372 / 7374
14.;1907138202;25.01.2016;TELSTRA VENTURES;SHANGHAI QINIU INFORMATION TECHNOLOGY CO., LTD;CN;7374
15.;1909442476;24.05.2016;TELSTRA VENTURES;VARMOUR NETWORKS INC.;US;7372 / 7374
16.;1909447631;07.06.2016;TELSTRA VENTURES;ZIMPERIUM INC.;US;7372 / 7374
17.;1943029768;20.09.2016;TELSTRA VENTURES;WHISPIR LTD;AU;7372 / 7374
18.;1907175771;30.09.2016;TELSTRA VENTURES;COMPARE88 GROUP PTE LTD;SG;7374
19.;1909508232;11.11.2016;TELSTRA VENTURES;SINGULAR LABS INC.;US;7372 / 7374
20.;1909514197;14.11.2016;TELSTRA VENTURES;BOOMTOWN CORPORATION;US;7372
21.;1909466709;30.11.2016;TELSTRA VENTURES;ATTACKIQ INC.;US;8731 / 8732 / 8733
22.;1909550464;02.03.2017;TELSTRA VENTURES;VELOCLOUD NETWORKS INC.;US;7374
23.;1909597622;27.06.2017;TELSTRA VENTURES;AUTH0 INC.;US;7372 / 7374
24.;1909627410;07.09.2017;TELSTRA VENTURES;NSONE INC.;US;7372 / 7374
25.;1909648917;02.11.2017;TELSTRA VENTURES;INSTART LOGIC INC.;US;7372 / 7374
26.;1941012992;13.12.2017;TELSTRA VENTURES;SKILLZ INC.;US;7374
27.;1941028754;23.01.2018;TELSTRA VENTURES;CUMULUS NETWORKS INC.;US;7374
28.;1907163465;01.03.2018;TELSTRA VENTURES;BEIJING RONGLIAN YITONG INFORMATION TECHNOLOGY CO., LTD;CN;7374
29.;1943029772;12.03.2018;TELSTRA VENTURES;WHISPIR LTD;AU;7372 / 7374
30.;1943026736;02.04.2018;TELSTRA VENTURES;MOVUS AUSTRALIA PTY LTD;AU;7371 / 7372 / 7374
31.;1943031869;03.05.2018;TELSTRA VENTURES;UBTECH ROBOTICS, INC.;CN;3559 / 3575 / 3942 / 8731
32.;1941134464;18.09.2018;TELSTRA VENTURES;SINGULAR INC.;US;7372 / 7374
33.;1943047274;26.09.2018;TELSTRA VENTURES;C88 FINANCIAL TECHNOLOGIES PTE LTD;SG;7374
34.;1941145780;18.10.2018;TELSTRA VENTURES;INCORTA INC.;US;7374
35.;1941158405;30.10.2018;TELSTRA VENTURES;HEADSPIN INC.;US;7374
36.;1941163147;04.12.2018;TELSTRA VENTURES;WISE TRAVEL INC.;US;7371 / 7372
