;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1907233558;19.10.2017;TENCENT INDUSTRY WIN-WIN FUND;CHINA INTERNET PLUS HOLDING LTD;KY;7372 / 7374;Minority stake unknown %
2.;1907247206;19.01.2016;TENCENT INDUSTRY WIN-WIN FUND;CHINA INTERNET PLUS HOLDING LTD;KY;7372 / 7374;Minority stake 18.33%
3.;1943065597;05.12.2017;TENCENT INDUSTRY WIN-WIN FUND;WM MOTOR TECHNOLOGY CO., LTD;CN;3711 / 7373;Minority stake unknown %
4.;1907250569;08.11.2017;TENCENT INDUSTRY WIN-WIN FUND;NEXTEV LTD;CN;3711 / 8731;Minority stake unknown %
5.;1907106594;03.07.2015;TENCENT INDUSTRY WIN-WIN FUND;SUZHOU TONGCHENG NETWORK TECHNOLOGY SHARE CO., LTD;CN;7372 / 7374;Minority stake unknown %
6.;1943031869;03.05.2018;TENCENT INDUSTRY WIN-WIN FUND;UBTECH ROBOTICS CORPORATION;CN;3559 / 3575 / 3942 / 8731;Minority stake 16.4%
7.;1943022045;08.03.2018;TENCENT INDUSTRY WIN-WIN FUND;WUHAN DOUYU INTERNET TECHNOLOGY CO., LTD;CN;7374;Minority stake 16%
8.;1943012361;16.01.2018;TENCENT INDUSTRY WIN-WIN FUND;BEIJING ZIROOM INFORMATION TECHNOLOGY CO., LTD;CN;7374;Minority stake 20%
9.;1907223815;16.06.2017;TENCENT INDUSTRY WIN-WIN FUND;BEIJING MOBIKE TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
10.;1943022351;09.03.2018;TENCENT INDUSTRY WIN-WIN FUND;HUYA INC.;KY;7374;Minority stake 25%
11.;1907212743;19.04.2017;TENCENT INDUSTRY WIN-WIN FUND;BEIJING LIANJIA REAL ESTATE BROKERAGE CO., LTD;CN;6531 / 7374;Minority stake 6.67%
12.;1907206473;23.03.2017;TENCENT INDUSTRY WIN-WIN FUND;BEIJING KUAISHOU TECHNOLOGY CO., LTD;CN;7372;Minority stake 20%
13.;1907069658;23.10.2014;TENCENT INDUSTRY WIN-WIN FUND;BEIJING KOUDAI FASHION TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
14.;1943030845;26.04.2018;TENCENT INDUSTRY WIN-WIN FUND;BEIJING RENREN CAR NETWORK TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
15.;1943031321;01.06.2018;TENCENT INDUSTRY WIN-WIN FUND;XINGYIN INFORMATION TECHNOLOGY (SHANGHAI) CO., LTD;CN;5961 / 7372 / 7374;Minority stake unknown %
16.;1907169254;15.08.2016;TENCENT INDUSTRY WIN-WIN FUND;WUHAN DOUYU INTERNET TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
17.;1907190827;04.01.2017;TENCENT INDUSTRY WIN-WIN FUND;BEIJING MOBIKE TECHNOLOGY CO., LTD;CN;7372;Minority stake 10%
18.;1943064034;17.10.2018;TENCENT INDUSTRY WIN-WIN FUND;BEIJING CHUSUDU TECHNOLOGY CO., LTD;CN;7371;Minority stake 20%
19.;1943067403;02.11.2018;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI MIAOKE INFORMATION TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
20.;1943042070;03.07.2018;TENCENT INDUSTRY WIN-WIN FUND;HANGZHOU QIMA TECHNOLOGY CO., LTD;CN;7374;Minority stake 5%
21.;1943030883;05.09.2016;TENCENT INDUSTRY WIN-WIN FUND;BEIJING RENREN CAR NETWORK TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
22.;1909591339;12.06.2017;TENCENT INDUSTRY WIN-WIN FUND;FUTU SECURITIES INTERNATIONAL (HONG KONG) LTD;HK;6211;Minority stake unknown %
23.;1909199059;31.12.2013;TENCENT INDUSTRY WIN-WIN FUND;BEIJING RENREN YOUXIN INVESTMENT CO., LTD;CN;7374;Minority stake unknown %
24.;1943043304;10.07.2018;TENCENT INDUSTRY WIN-WIN FUND;BEIJING CALORIES TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
25.;1907220284;31.05.2017;TENCENT INDUSTRY WIN-WIN FUND;BEIJING ZHENGUANYU SCIENCE AND TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
26.;1907067723;13.10.2014;TENCENT INDUSTRY WIN-WIN FUND;GUAHAO.COM LTD;CN;7372 / 7374;Minority stake unknown %
27.;1909262703;28.11.2016;TENCENT INDUSTRY WIN-WIN FUND;RONGCHANG INC.;CN;7211 / 7212 / 7216 / 7374;Minority stake unknown %
28.;1907192259;12.01.2017;TENCENT INDUSTRY WIN-WIN FUND;BEIJING ZHIZHE TIANXIA TECHNOLOGY CO., LTD;CN;7374;Minority stake 10%
29.;1943028879;16.04.2018;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI XINLISHI NETWORK TECHNOLOGY CO., LTD;CN;7374;Minority stake unknown %
30.;1943030820;03.08.2015;TENCENT INDUSTRY WIN-WIN FUND;BEIJING RENREN CAR NETWORK TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
31.;1907112122;03.08.2015;TENCENT INDUSTRY WIN-WIN FUND;BEIJING RENREN CAR NETWORK TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
32.;1907150625;07.03.2016;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI LEMON FILM MEDIA CO., LTD;CN;7812;Minority stake unknown %
33.;1907061548;03.09.2014;TENCENT INDUSTRY WIN-WIN FUND;GUANLAN NETWORK (HANGZHOU) CO., LTD;CN;7374;Minority stake unknown %
34.;1907227041;03.07.2017;TENCENT INDUSTRY WIN-WIN FUND;SHENZHEN LEYNEW TECHNOLOGY CO., LTD;CN;3625;Minority stake 16.67%
35.;1943014218;25.10.2018;TENCENT INDUSTRY WIN-WIN FUND;SHENZHEN XTALPI TECHNOLOGY CO., LTD;CN;7374;Minority stake 20%
36.;1907192252;03.04.2018;TENCENT INDUSTRY WIN-WIN FUND;RENKE HUDONG (BEIJING) INFORMATION TECHNOLOGY CO., LTD;CN;7372;Minority stake 5%
37.;1943006386;06.12.2017;TENCENT INDUSTRY WIN-WIN FUND;CHENGDU YIYUN TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
38.;1907112608;04.08.2015;TENCENT INDUSTRY WIN-WIN FUND;FUTU SECURITIES INTERNATIONAL (HONG KONG) LTD;HK;6211;Minority stake unknown %
39.;1943024724;22.03.2018;TENCENT INDUSTRY WIN-WIN FUND;HANGZHOU YOUDIAN TECHNOLOGY CO., LTD;CN;7372 / 8731;Minority stake unknown %
40.;1943054578;05.09.2018;TENCENT INDUSTRY WIN-WIN FUND;BEIJING XUANKE TECHNOLOGY CO., LTD;CN;7374;Minority stake 20%
