;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;288321;12.02.2001;THALES CORPORATE VENTURES SAS;EMBRACE NETWORKS;US;7371 / 7373;Minority stake unknown %
2.;90817;31.05.2001;THALES CORPORATE VENTURES SAS;PHS MEMS SA;FR;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
3.;213727;26.06.2001;THALES CORPORATE VENTURES SAS;CANESTA INC.;US;3661 / 3679;Minority stake unknown %
4.;416358;30.01.2006;THALES CORPORATE VENTURES SAS;DXO LABS SA;FR;7372;Minority stake unknown %
5.;382020;30.08.2005;THALES CORPORATE VENTURES SAS;CANESTA INC.;US;3661 / 3679;Minority stake unknown %
6.;144775;08.01.2003;THALES CORPORATE VENTURES SAS;PHS MEMS SA;FR;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
7.;85374;02.01.2000;THALES CORPORATE VENTURES SAS;PLANHEAD-SILMAG;FR;3571 / 3572 / 3575;Minority stake unknown %
8.;183443;11.06.2003;THALES CORPORATE VENTURES SAS;DXO LABS SA;FR;7372;Minority stake unknown %
9.;85377;27.09.2000;THALES CORPORATE VENTURES SAS;PLANHEAD-SILMAG;FR;3571 / 3572 / 3575;Minority stake unknown %
10.;1601413655;22.10.2012;THALES CORPORATE VENTURES SAS;MULTIX SA;FR;3672 / 3679 / 3844;Minority stake unknown %
11.;511703;26.01.2007;THALES CORPORATE VENTURES SAS;IWEDIA SA;FR;7371 / 7372;Minority stake unknown %
12.;1601247127;13.01.2011;THALES CORPORATE VENTURES SAS;MULTIX SA;FR;3672 / 3679 / 3844;Minority stake unknown %
13.;129970;03.09.2002;THALES CORPORATE VENTURES SAS;3D PLUS SA;FR;3679;Minority stake unknown %
14.;209168;26.11.2003;THALES CORPORATE VENTURES SAS;NEXTAMP SA;FR;7371;Minority stake unknown %
15.;1909233503;11.05.2015;THALES CORPORATE VENTURES SAS;MULTIX SA;FR;3672 / 3679 / 3844;Minority stake unknown %
16.;213732;15.08.2000;THALES CORPORATE VENTURES SAS;CANESTA INC.;US;3661 / 3679;Minority stake unknown %
17.;427416;01.03.2006;THALES CORPORATE VENTURES SAS;IWEDIA SA;FR;7371 / 7372;Minority stake unknown %
18.;240435;30.04.2002;THALES CORPORATE VENTURES SAS;EPROCESS SA;FR;7371 / 7372;Minority stake unknown %
19.;67367;29.01.1999;THALES CORPORATE VENTURES SAS;T2M AUTOMATION;FR;3629 / 3651 / 3699;Minority stake unknown %
20.;87875;13.04.2001;THALES CORPORATE VENTURES SAS;BIONATICS;FR;7371;Minority stake unknown %
21.;121637;23.04.2002;THALES CORPORATE VENTURES SAS;CROSS DATABASE TECHNOLOGY;FR;7371;Minority stake unknown %
22.;115707;20.02.2002;THALES CORPORATE VENTURES SAS;WESTCAST SYSTEMS SA;FR;7371;Minority stake unknown %
23.;90023;31.07.2000;THALES CORPORATE VENTURES SAS;ESTEREL TECHNOLOGIES SA;FR;7371 / 7372;Minority stake unknown %
