;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909180979;19.12.2014;TIM VENTURES;WIMAN SRL;IT;7372;Minority stake unknown %
2.;1909324487;22.12.2015;TIM VENTURES;CLOUDESIRE.COM;IT;7372 / 7374;Minority stake unknown %
3.;1909180471;18.12.2014;TIM VENTURES;PEDIUS SRL;IT;7372;Minority stake unknown %
4.;1909522781;19.12.2016;TIM VENTURES;WIMAN SRL;IT;7372;Minority stake unknown %
5.;1909279320;06.08.2015;TIM VENTURES;OILPROJECT SRL;IT;7372 / 7374;Minority stake unknown %
6.;1909181606;22.12.2014;TIM VENTURES;ECO4CLOUD SRL;IT;7371;Minority stake unknown %
7.;1909202886;12.02.2015;TIM VENTURES;OILPROJECT SRL;IT;7372 / 7374;Minority stake unknown %
8.;1909289212;22.09.2015;TIM VENTURES;CROWDWAY SRL;IT;7374;Minority stake unknown %
9.;1909267612;30.07.2015;TIM VENTURES;KOPJRA SRL;IT;7371 / 7372;Minority stake unknown %
10.;1909224484;17.04.2015;TIM VENTURES;EDO.IO SRL;IT;7372;Minority stake unknown %
11.;1909237073;26.05.2015;TIM VENTURES;UNFRAUD;IT;7371 / 7372;Minority stake unknown %
12.;1909224754;23.04.2015;TIM VENTURES;INNAAS SRL;IT;7374;Minority stake unknown %
13.;1909242380;04.06.2015;TIM VENTURES;ARMNET;IT;7372;Minority stake 0.9%
