;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601385895;10.07.2012;TOTAL ENERGY VENTURES INTERNATIONAL SAS;ELEVANCE RENEWABLE SCIENCES INC.;US;2869 / 8731;Minority stake unknown %
2.;1601241166;21.12.2010;TOTAL ENERGY VENTURES INTERNATIONAL SAS;ELEVANCE RENEWABLE SCIENCES INC.;US;2869 / 8731;Minority stake unknown %
3.;1941033448;18.01.2018;TOTAL ENERGY VENTURES INTERNATIONAL SAS;OFF GRID ELECTRIC TANZANIA LTD;TZ;1731 / 6159 / 7371 / 7374;Minority stake unknown %
4.;1941147801;25.10.2018;TOTAL ENERGY VENTURES INTERNATIONAL SAS;TADO GMBH;DE;3823 / 7372;Minority stake unknown %
5.;1601326241;30.04.2012;TOTAL ENERGY VENTURES INTERNATIONAL SAS;NANOH2O INC.;US;2821;Minority stake unknown %
6.;1909150977;05.11.2014;TOTAL ENERGY VENTURES INTERNATIONAL SAS;AQUION ENERGY INC.;US;3691 / 8731;Minority stake unknown %
7.;1909400854;09.02.2016;TOTAL ENERGY VENTURES INTERNATIONAL SAS;SUNVERGE ENERGY INC.;US;7372 / 7374;Minority stake unknown %
8.;1941088454;30.05.2018;TOTAL ENERGY VENTURES INTERNATIONAL SAS;NINJATRUCK SL;ES;4215 / 4513 / 7374;Minority stake unknown %
9.;1909050937;16.12.2013;TOTAL ENERGY VENTURES INTERNATIONAL SAS;GEVO INC.;US;2899 / 8731;Capital Increase 28.192%
10.;1601326424;19.12.2011;TOTAL ENERGY VENTURES INTERNATIONAL SAS;AGILYX CORPORATION;US;2899 / 2911 / 4953;Minority stake unknown %
11.;1601259453;31.03.2011;TOTAL ENERGY VENTURES INTERNATIONAL SAS;AGILYX CORPORATION;US;2899 / 2911 / 4953;Minority stake unknown %
12.;1909148539;23.09.2014;TOTAL ENERGY VENTURES INTERNATIONAL SAS;NEXSTEPPE INC.;US;8731;Minority stake unknown %
13.;1941130907;11.09.2018;TOTAL ENERGY VENTURES INTERNATIONAL SAS;COSMO COMPANY SAS, THE;FR;7372 / 7374;Minority stake unknown %
14.;1909395036;25.01.2016;TOTAL ENERGY VENTURES INTERNATIONAL SAS;POWERHIVE INC.;US;7372 / 7374;Minority stake unknown %
15.;1941139395;02.10.2018;TOTAL ENERGY VENTURES INTERNATIONAL SAS;MTPV POWER CORPORATION;US;4911;Minority stake unknown %
16.;1601345599;23.02.2012;TOTAL ENERGY VENTURES INTERNATIONAL SAS;ENERVAULT CORPORATION;US;3691 / 8731;Minority stake unknown %
17.;1909115718;17.06.2014;TOTAL ENERGY VENTURES INTERNATIONAL SAS;SUNVERGE ENERGY INC.;US;7372 / 7374;Minority stake unknown %
18.;1909572696;27.04.2017;TOTAL ENERGY VENTURES INTERNATIONAL SAS;ELIOCITY SAS;FR;7372 / 7374;Minority stake unknown %
19.;1601482076;04.06.2013;TOTAL ENERGY VENTURES INTERNATIONAL SAS;WIRELESS SEISMIC INC.;US;3823 / 5065 / 5084 / 7371;Minority stake unknown %
20.;1909125041;15.07.2014;TOTAL ENERGY VENTURES INTERNATIONAL SAS;MTPV LLC;US;3499 / 3674 / 8731;Minority stake unknown %
21.;1909198023;02.02.2015;TOTAL ENERGY VENTURES INTERNATIONAL SAS;AVENISENSE SAS;FR;3812 / 8731;Minority stake unknown %
22.;1601294609;;TOTAL ENERGY VENTURES INTERNATIONAL SAS;COSKATA INC.;US;2869 / 5084 / 5169 / 6792 / 6794;Minority stake unknown %
23.;1909177086;09.12.2014;TOTAL ENERGY VENTURES INTERNATIONAL SAS;SOLIDIA TECHNOLOGIES INC.;US;3272 / 3448 / 8731;Minority stake unknown %
24.;1909312934;23.11.2015;TOTAL ENERGY VENTURES INTERNATIONAL SAS;SUNFIRE GMBH;DE;3559 / 3629 / 3699;Minority stake unknown %
25.;1909400000;02.02.2016;TOTAL ENERGY VENTURES INTERNATIONAL SAS;OFF GRID ELECTRIC TANZANIA LTD;TZ;1731 / 6159 / 7371 / 7374;Minority stake unknown %
26.;1909489117;16.09.2016;TOTAL ENERGY VENTURES INTERNATIONAL SAS;AUTOGRID SYSTEMS INC.;US;7372 / 7374;Minority stake unknown %
27.;1941069609;18.04.2018;TOTAL ENERGY VENTURES INTERNATIONAL SAS;IONIC MATERIALS INC.;US;8731;Minority stake unknown %
28.;1909076421;25.02.2014;TOTAL ENERGY VENTURES INTERNATIONAL SAS;SUNFIRE GMBH;DE;3559 / 3629 / 3699;Minority stake unknown %
