;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;317242;29.05.2000;TYCO VENTURES;ADVANCED HARDWARE ARCHITECTURES;US;3674
2.;260769;19.06.2000;TYCO VENTURES;IKNOWMED INC.;US;4899 / 7322 / 7323 / 7334 / 7338 / 7389 / 8999
3.;145918;03.10.2000;TYCO VENTURES;APERTO NETWORKS INC.;US;3661 / 3663 / 3669 / 7373
4.;224675;02.11.2000;TYCO VENTURES;ISUPPLI CORPORATION;US;7322 / 7323 / 7334 / 7338 / 7389 / 8742 / 8748
5.;234738;30.03.2001;TYCO VENTURES;TERABURST NETWORKS INC.;US;3661 / 3674
6.;235633;24.04.2001;TYCO VENTURES;AXYA MEDICAL INC.;US;3841 / 8731
7.;224669;15.11.2001;TYCO VENTURES;ISUPPLI CORPORATION;US;7322 / 7323 / 7334 / 7338 / 7389 / 8742 / 8748
8.;184106;30.01.2002;TYCO VENTURES;SANTEL NETWORKS INC.;US;3674
9.;198025;16.02.2002;TYCO VENTURES;SOUND ID;US;3841 / 3845 / 8731
10.;143556;16.12.2002;TYCO VENTURES;APERTO NETWORKS INC.;US;3661 / 3663 / 3669 / 7373
11.;231147;08.03.2004;TYCO VENTURES;APERTO NETWORKS INC.;US;3661 / 3663 / 3669 / 7373
12.;239895;13.04.2004;TYCO VENTURES;AXYA MEDICAL INC.;US;3841 / 8731
13.;306022;04.01.2005;TYCO VENTURES;SUTURTEK INC.;US;3841 / 8731
14.;377428;31.01.2007;TYCO VENTURES;APERTO NETWORKS INC.;US;3661 / 3663 / 3669 / 7373
15.;1909190461;20.01.2015;TYCO VENTURES;ALCHEMIST ACCELERATOR LLC;US;6799 / 8742
16.;1909215502;27.03.2015;TYCO VENTURES;WAYGUM INC.;US;7372
17.;1909217878;07.04.2015;TYCO VENTURES;REDSEAL INC.;US;7371 / 7372
18.;1909445171;31.05.2016;TYCO VENTURES;CONTINUSE BIOMETRICS LTD;IL;3845 / 8731
