;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;322954;28.02.2005;UNILEVER VENTURES LTD;PERLEGEN SCIENCES INC.;US;2833 / 8731;Minority stake unknown %
2.;1909304065;03.11.2015;UNILEVER VENTURES LTD;GAZELLE INC.;US;5731 / 5961;Minority stake unknown %
3.;390220;03.04.2007;UNILEVER VENTURES LTD;SURFACE LOGIX INC.;US;8731;Minority stake unknown %
4.;1601130427;21.02.2011;UNILEVER VENTURES LTD;RECYCLEBANK LLC;US;7374 / 7389;Minority stake unknown %
5.;1941030010;25.01.2018;UNILEVER VENTURES LTD;OSPOTO INC.;US;5961 / 7374;Minority stake unknown %
6.;1601459744;28.03.2013;UNILEVER VENTURES LTD;T2 BIOSYSTEMS INC.;US;8731;Minority stake unknown %
7.;147298;27.01.2003;UNILEVER VENTURES LTD;PERLEGEN SCIENCES INC.;US;2833 / 8731;Minority stake unknown %
8.;336713;20.04.2005;UNILEVER VENTURES LTD;MERRIMACK PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
9.;244886;04.05.2004;UNILEVER VENTURES LTD;MERRIMACK PHARMACEUTICALS INC.;US;2834 / 8731;Minority stake unknown %
10.;403972;16.12.2005;UNILEVER VENTURES LTD;IMPINJ INC.;US;3674;Minority stake unknown %
11.;1601130658;14.12.2009;UNILEVER VENTURES LTD;ON-Q-ITY INC.;US;2835 / 8731;Minority stake unknown %
12.;1909426030;12.04.2016;UNILEVER VENTURES LTD;BLIS MEDIA LTD;GB;7374;Minority stake unknown %
13.;1601293380;10.08.2011;UNILEVER VENTURES LTD;T2 BIOSYSTEMS INC.;US;8731;Minority stake unknown %
14.;262824;12.07.2004;UNILEVER VENTURES LTD;IMPINJ INC.;US;3674;Minority stake unknown %
15.;1601287265;21.07.2011;UNILEVER VENTURES LTD;SECOND ROTATION INC.;US;5731 / 5961;Minority stake unknown %
16.;523295;13.05.2008;UNILEVER VENTURES LTD;EXPRESSO FITNESS CORPORATION;US;3571 / 3572 / 3575 / 3651 / 3652 / 3661 / 3663 / 3669 / 3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679 / 3695 / 3812 / 3822 / 3823 / 3824 / 3825 / 3826 / 3829 / 3844 / 3845 / 7371 / 7372;Minority stake unknown %
17.;1909247888;08.06.2015;UNILEVER VENTURES LTD;BRANDTONE HOLDINGS LTD;IE;7374;Minority stake unknown %
18.;628309;26.03.2008;UNILEVER VENTURES LTD;PHARMACA INTEGRATIVE PHARMACY INC.;US;5912;Minority stake unknown %
19.;1909060102;13.01.2014;UNILEVER VENTURES LTD;BRANDTONE LTD;IE;7374;Minority stake unknown %
20.;521225;07.03.2007;UNILEVER VENTURES LTD;IMPINJ INC.;US;3674;Minority stake unknown %
21.;1909250151;23.06.2015;UNILEVER VENTURES LTD;OLAPIC INC.;US;7372 / 7374;Minority stake unknown %
22.;1601059029;09.03.2009;UNILEVER VENTURES LTD;SURFACE LOGIX INC.;US;8731;Minority stake unknown %
23.;1909595648;21.06.2017;UNILEVER VENTURES LTD;CELTRA INC.;US;7372 / 7374;Minority stake unknown %
24.;1909418021;31.01.2016;UNILEVER VENTURES LTD;MIRRIAD ADVERTISING LTD;GB;7374;Minority stake unknown %
25.;1909320182;01.09.2015;UNILEVER VENTURES LTD;YUMMLY INC.;US;8999;Minority stake 13.043%
26.;1601191280;25.05.2010;UNILEVER VENTURES LTD;T2 BIOSYSTEMS INC.;US;8731;Minority stake unknown %
