;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;156296;17.03.2003;VODAFONE VENTURES;SAVAJE TECHNOLOGIES INC.;US;7371
2.;166556;12.05.2003;VODAFONE VENTURES;CLICKMARKS INC.;US;7371 / 7372
3.;400799;05.12.2005;VODAFONE VENTURES;SAVAJE TECHNOLOGIES INC.;US;7371
4.;503417;28.11.2007;VODAFONE VENTURES;AMOBEE INC.;US;7311 / 7374 / 8742
5.;620160;04.02.2008;VODAFONE VENTURES;CARINGO INC.;US;7371 / 7372
6.;1601019163;06.08.2008;VODAFONE VENTURES;AMOBEE INC.;US;7311 / 7374 / 8742
7.;1601029058;10.11.2008;VODAFONE VENTURES;EVOLUTION ROBOTICS INC.;US;7371 / 7372 / 7374
8.;1601198570;22.06.2010;VODAFONE VENTURES;PERFECTO MOBILE LTD;IL;7371 / 7372
9.;1601211667;19.08.2010;VODAFONE VENTURES;PLAYSPAN INC.;US;7371 / 7372
10.;1601228990;17.11.2010;VODAFONE VENTURES;GAMEGROUND;US;7371
11.;1601229876;23.11.2010;VODAFONE VENTURES;QYPE GMBH;DE;8999
12.;1601303474;12.10.2011;VODAFONE VENTURES;LOCALRESPONSE INC.;US;7372 / 7374
13.;1601246824;17.01.2012;VODAFONE VENTURES;VISIONOSS LTD;GB;7371
14.;1601336063;23.01.2012;VODAFONE VENTURES;FINSPHERE CORPORATION;US;7371 / 7374
15.;1601372652;03.05.2012;VODAFONE VENTURES;INTOTALLY;US;7371 / 7374
16.;1601429324;12.12.2012;VODAFONE VENTURES;JIBE MOBILE INC.;US;7372 / 7374
17.;1909144554;09.09.2014;VODAFONE VENTURES;KNGINE INC.;US;7372 / 7374 / 8999
