;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909588609;12.04.2017;VOLVO GROUP VENTURE CAPITAL AB;PELOTON TECHNOLOGY INC.;US;3669;Minority stake unknown %
2.;593435;07.11.2007;VOLVO GROUP VENTURE CAPITAL AB;VAPERMA INC.;CA;2823 / 2824 / 8731;Minority stake unknown %
3.;1601096774;02.07.2009;VOLVO GROUP VENTURE CAPITAL AB;POWERCELL SWEDEN AB;SE;3629 / 3699 / 8731;Minority stake unknown %
4.;1601035449;02.12.2008;VOLVO GROUP VENTURE CAPITAL AB;CHEMREC AB;SE;2813 / 8731;Minority stake unknown %
5.;1909224637;22.04.2015;VOLVO GROUP VENTURE CAPITAL AB;PELOTON TECHNOLOGY INC.;US;3669;Minority stake unknown %
6.;1601074612;04.05.2009;VOLVO GROUP VENTURE CAPITAL AB;SDCMATERIALS INC.;US;8731;Minority stake unknown %
7.;1601166719;19.02.2010;VOLVO GROUP VENTURE CAPITAL AB;EFFPOWER AB;SE;3692 / 8731;Minority stake unknown %
8.;1909193919;29.01.2015;VOLVO GROUP VENTURE CAPITAL AB;CARGOMATIC INC.;US;7374;Minority stake unknown %
9.;1601036116;08.12.2008;VOLVO GROUP VENTURE CAPITAL AB;VAPERMA INC.;CA;2823 / 2824 / 8731;Minority stake unknown %
10.;595801;16.11.2007;VOLVO GROUP VENTURE CAPITAL AB;JENSEN DEVICES AB;SE;3679 / 3845;Minority stake unknown %
11.;1601019641;27.06.2008;VOLVO GROUP VENTURE CAPITAL AB;TRANSIC AB;SE;3674;Minority stake unknown %
12.;173223;;VOLVO GROUP VENTURE CAPITAL AB;EFFPOWER AB;SE;3692 / 8731;Minority stake unknown %
13.;1909032539;17.10.2013;VOLVO GROUP VENTURE CAPITAL AB;MAGCOMP AB;SE;2821 / 3398 / 3499 / 3679;Minority stake
14.;1601201174;30.06.2010;VOLVO GROUP VENTURE CAPITAL AB;EL-FOREST AB;SE;3523;Minority stake unknown %
15.;1909023961;26.09.2013;VOLVO GROUP VENTURE CAPITAL AB;RIDEPAL INC.;US;4151;Minority stake unknown %
16.;1601285214;07.04.2011;VOLVO GROUP VENTURE CAPITAL AB;I-TECH AB;SE;2851 / 8731;Minority stake unknown %
17.;339852;28.04.2005;VOLVO GROUP VENTURE CAPITAL AB;ILLUMINATE LABS AB;SE;7371 / 7372;Minority stake unknown %
18.;498209;10.11.2006;VOLVO GROUP VENTURE CAPITAL AB;TRANSIC AB;SE;3674;Minority stake unknown %
19.;107668;07.08.2001;VOLVO GROUP VENTURE CAPITAL AB;WIPCORE AB;SE;7371 / 8999;Minority stake unknown %
20.;428144;16.03.2006;VOLVO GROUP VENTURE CAPITAL AB;CHROMOGENICS AB;SE;3674;Minority stake unknown %
21.;602231;27.11.2007;VOLVO GROUP VENTURE CAPITAL AB;EL-FOREST AB;SE;3523;Minority stake unknown %
22.;652105;23.04.2008;VOLVO GROUP VENTURE CAPITAL AB;PROXIO AB;SE;7371 / 7374;Minority stake unknown %
23.;1601032375;15.10.2008;VOLVO GROUP VENTURE CAPITAL AB;COHERIX INC.;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
24.;1601035453;24.01.2007;VOLVO GROUP VENTURE CAPITAL AB;CHEMREC AB;SE;2813 / 8731;Minority stake unknown %
25.;1601202771;05.07.2010;VOLVO GROUP VENTURE CAPITAL AB;I-TECH AB;SE;2851 / 8731;Minority stake increased from 33% to 36.667%
26.;1601428217;07.12.2012;VOLVO GROUP VENTURE CAPITAL AB;DATACHASSI AB;SE;3629 / 3669 / 3699;Minority stake
27.;1601446535;;VOLVO GROUP VENTURE CAPITAL AB;DRIVECAM INC.;US;7371 / 7372;Minority stake unknown %
28.;1909265149;28.07.2015;VOLVO GROUP VENTURE CAPITAL AB;SDCMATERIALS INC.;US;8731;Minority stake unknown %
