;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1941092150;06.06.2018;WESTERN DIGITAL CAPITAL INC.;QUMULO INC.;US;7372 / 7374
2.;1909238630;27.05.2015;WESTERN DIGITAL CAPITAL INC.;TEGILE SYSTEMS INC.;US;3572
3.;1601449137;12.03.2013;WESTERN DIGITAL CAPITAL INC.;SKYERA INC.;US;3572
4.;1909007439;12.08.2013;WESTERN DIGITAL CAPITAL INC.;TEGILE SYSTEMS INC.;US;3572
5.;1909043507;19.11.2013;WESTERN DIGITAL CAPITAL INC.;HIGHTAIL INC.;US;7374
6.;1909164337;26.01.2015;WESTERN DIGITAL CAPITAL INC.;EVERSPIN TECHNOLOGIES INC.;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679
7.;1909123645;10.07.2014;WESTERN DIGITAL CAPITAL INC.;AVERE SYSTEMS INC.;US;3572 / 7371 / 7372 / 7374
8.;1909627052;06.09.2017;WESTERN DIGITAL CAPITAL INC.;ELASTIFILE LTD;IL;7372 / 7374
9.;1909553358;08.03.2017;WESTERN DIGITAL CAPITAL INC.;SCYLLADB INC.;US;7372 / 7374
10.;1909559021;21.03.2017;WESTERN DIGITAL CAPITAL INC.;AVERE SYSTEMS INC.;US;3572 / 7371 / 7372 / 7374
11.;1941073007;25.04.2018;WESTERN DIGITAL CAPITAL INC.;SCYLLADB INC.;US;7372 / 7374
12.;1909143362;08.09.2014;WESTERN DIGITAL CAPITAL INC.;AMPLIDATA SA;BE;7371 / 7372
13.;1909633720;07.09.2017;WESTERN DIGITAL CAPITAL INC.;UPMEM SAS;FR;3674
