;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;98030;16.10.2001;XILINX VENTURES;CELOXICA HOLDINGS PLC;GB;7371 / 7372
2.;1909126531;21.07.2014;XILINX VENTURES;XMOS LTD;GB;3674 / 8731
3.;163162;19.08.2002;XILINX VENTURES;MIDSTREAM TECHNOLOGIES INC.;US;3571 / 3572 / 3575 / 3663
4.;1601097833;29.07.2009;XILINX VENTURES;CONVEY COMPUTER CORPORATION;US;3571 / 3575 / 7371
5.;457223;06.07.2006;XILINX VENTURES;ENPIRION INC.;US;3674
6.;169385;27.05.2003;XILINX VENTURES;ZIPTRONIX INC.;US;3674
7.;1909083477;14.03.2014;XILINX VENTURES;AQUANTIA CORPORATION;US;3674
8.;163164;13.03.2001;XILINX VENTURES;MIDSTREAM TECHNOLOGIES INC.;US;3571 / 3572 / 3575 / 3663
9.;384772;10.10.2005;XILINX VENTURES;SENSORY NETWORKS INC.;US;3669 / 7371
10.;1601124171;12.10.2009;XILINX VENTURES;BRILLIANT TELECOMMUNICATIONS INC.;US;7371
11.;165173;06.05.2003;XILINX VENTURES;ACCELCHIP INC.;US;7371 / 7372
12.;156326;17.03.2003;XILINX VENTURES;HIER DESIGN INC.;US;7371 / 7372
13.;1941020226;18.04.2016;XILINX VENTURES;NGCODEC INC.;US;7374
14.;1601234128;15.12.2010;XILINX VENTURES;CHIP PATH DESIGN SYSTEMS;US;3674
15.;266749;14.07.2004;XILINX VENTURES;HEJIAN TECHNOLOGY (SUZHOU) CO., LTD;CN;3674
16.;605826;20.12.2007;XILINX VENTURES;MOCEAN LABORATORIES AB;SE;3651 / 8731 / 8999
17.;1907217958;17.05.2017;XILINX VENTURES;BEIJING DEEPHI TECH CO., LTD;CN;7371 / 7372
18.;1601360168;10.04.2012;XILINX VENTURES;OASYS DESIGN SYSTEMS INC.;US;7371
