;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1907149090;29.03.2016;YJ CAPITAL KK;BIZREACH INC.;JP;7374;Minority stake unknown %
2.;1909429772;;YJ CAPITAL KK;NINJA LOGISTICS PTE LTD;SG;4215 / 4513;Minority stake unknown %
3.;1943061000;05.10.2018;YJ CAPITAL KK;COCON INC.;JP;7374;Minority stake unknown %
4.;1943006774;12.12.2017;YJ CAPITAL KK;CANDEE INC.;JP;7922 / 7941 / 8999;Minority stake unknown %
5.;1943040212;25.06.2018;YJ CAPITAL KK;PANAIR INC.;JP;7374;Minority stake unknown %
6.;1943040324;21.06.2018;YJ CAPITAL KK;VIRTUSIZE KK;JP;7371 / 7372;Minority stake unknown %
7.;1907201754;28.02.2017;YJ CAPITAL KK;PANAIR INC.;JP;7374;Minority stake unknown %
8.;1941049780;11.07.2016;YJ CAPITAL KK;PAKTOR PTE LTD;SG;7372;Minority stake unknown %
9.;1943032906;08.05.2018;YJ CAPITAL KK;PHOTOSYNTH INC.;JP;7382;Minority stake unknown %
10.;1909397724;01.02.2016;YJ CAPITAL KK;KAIZEN PLATFORM INC.;US;7372 / 7374;Minority stake unknown %
11.;1909311112;19.11.2015;YJ CAPITAL KK;APSALAR INC.;US;7374;Minority stake unknown %
12.;1909238194;27.05.2015;YJ CAPITAL KK;UBIMO LTD;IL;7372 / 7374;Minority stake unknown %
13.;1907235885;17.08.2017;YJ CAPITAL KK;MONSTAR LAB INC.;JP;7372 / 7374;Minority stake unknown %
14.;1943050298;02.08.2018;YJ CAPITAL KK;OKAN INC.;JP;5812;Minority stake unknown %
15.;1907107339;22.06.2015;YJ CAPITAL KK;MANGOPLATE CO., LTD;KR;7374;Minority stake unknown %
16.;1907246341;16.10.2017;YJ CAPITAL KK;YAPPLI INC.;JP;7371 / 7372 / 7374;Minority stake unknown %
17.;1633119687;07.03.2013;YJ CAPITAL KK;FREAKOUT INC.;JP;7374 / 8742;Minority stake unknown %
18.;1907096670;22.04.2015;YJ CAPITAL KK;ASOVIEW INC.;JP;7374;Minority stake unknown %
19.;1941093359;04.06.2018;YJ CAPITAL KK;INSTAVR INC.;US;7372 / 7374;Minority stake unknown %
20.;1941013264;12.12.2017;YJ CAPITAL KK;KAIZEN PLATFORM INC.;US;7372 / 7374;Minority stake unknown %
21.;1907060848;29.08.2014;YJ CAPITAL KK;UZABASE INC.;JP;7374;Minority stake unknown %
22.;1943052758;07.08.2018;YJ CAPITAL KK;BELLFACE INC.;JP;7374;Minority stake unknown %
23.;1907054218;17.07.2014;YJ CAPITAL KK;HACHIMENROPPI INC.;JP;5146 / 7374;Minority stake unknown %
24.;1907043287;25.04.2014;YJ CAPITAL KK;AIMING INC.;JP;7372;Minority stake unknown %
25.;1943069914;16.11.2018;YJ CAPITAL KK;BASECONNECT INC.;JP;7372 / 7374;Minority stake unknown %
26.;1907155073;28.04.2016;YJ CAPITAL KK;REAL ESTATE DIRECT CO., LTD;KR;6531 / 7374;Minority stake unknown %
27.;1647004729;03.06.2013;YJ CAPITAL KK;RAREJOB INC.;JP;7374 / 8299;Minority stake unknown %
