fyear;patent_count;first_year;parent_company;sich_x;cvc_x
2010;591;1902;3M CO;;
2011;515;1902;3M CO;;
2012;570;1902;3M CO;;
2013;562;1902;3M CO;;
2014;458;1902;3M CO;;
2015;368;1902;3M CO;;
2010;258;1988;ABB LTD;;
2011;284;1988;ABB LTD;;
2012;333;1988;ABB LTD;;
2013;398;1988;ABB LTD;;
2014;313;1988;ABB LTD;;
2015;265;1988;ABB LTD;;
2010;352;1888;ABBOTT LABORATORIES;;
2011;339;1888;ABBOTT LABORATORIES;;
2012;323;1888;ABBOTT LABORATORIES;;
2013;335;1888;ABBOTT LABORATORIES;;
2014;253;1888;ABBOTT LABORATORIES;;
2015;233;1888;ABBOTT LABORATORIES;;
2010;89;2008;ABBVIE INC;;
2011;103;2008;ABBVIE INC;;
2012;95;2008;ABBVIE INC;;
2013;135;2008;ABBVIE INC;;
2014;143;2008;ABBVIE INC;;
2015;114;2008;ABBVIE INC;;
2010;26;1949;ADIDAS AG;;
2011;20;1949;ADIDAS AG;;
2012;13;1949;ADIDAS AG;;
2013;39;1949;ADIDAS AG;;
2014;32;1949;ADIDAS AG;;
2015;23;1949;ADIDAS AG;;
2010;232;1982;ADOBE INC;;
2011;257;1982;ADOBE INC;;
2012;320;1982;ADOBE INC;;
2013;247;1982;ADOBE INC;;
2014;210;1982;ADOBE INC;;
2015;204;1982;ADOBE INC;;
2010;243;1969;ADVANCED MICRO DEVICES;;
2011;175;1969;ADVANCED MICRO DEVICES;;
2012;232;1969;ADVANCED MICRO DEVICES;;
2013;162;1969;ADVANCED MICRO DEVICES;;
2014;105;1969;ADVANCED MICRO DEVICES;;
2015;80;1969;ADVANCED MICRO DEVICES;;
2010;54;1999;ALIBABA.COM LTD;;
2011;32;1999;ALIBABA.COM LTD;;
2012;49;1999;ALIBABA.COM LTD;737;ALIBABA CAPITAL PARTNERS
2013;81;1999;ALIBABA.COM LTD;737;ALIBABA CAPITAL PARTNERS
2014;89;1999;ALIBABA.COM LTD;737;ALIBABA CAPITAL PARTNERS
2015;112;1999;ALIBABA.COM LTD;737;ALIBABA CAPITAL PARTNERS
2010;848;1998;ALPHABET INC;;
2011;2309;1998;ALPHABET INC;;
2012;3495;1998;ALPHABET INC;;
2013;3192;1998;ALPHABET INC;;
2014;2511;1998;ALPHABET INC;;
2015;1735;1998;ALPHABET INC;;
2010;2;1985;ALTRIA GROUP INC;;
2011;12;1985;ALTRIA GROUP INC;;
2012;16;1985;ALTRIA GROUP INC;;
2013;41;1985;ALTRIA GROUP INC;;
2014;56;1985;ALTRIA GROUP INC;;
2015;44;1985;ALTRIA GROUP INC;;
2010;69;1980;AMGEN INC;;
2011;88;1980;AMGEN INC;;
2012;80;1980;AMGEN INC;;
2013;58;1980;AMGEN INC;;
2014;68;1980;AMGEN INC;;
2015;25;1980;AMGEN INC;;
2010;36;2006;AMOREPACIFIC CORP;;
2011;35;2006;AMOREPACIFIC CORP;;
2012;51;2006;AMOREPACIFIC CORP;;
2013;39;2006;AMOREPACIFIC CORP;;
2014;33;2006;AMOREPACIFIC CORP;;
2015;20;2006;AMOREPACIFIC CORP;;
2010;75;1985;AOL INC;;
2011;44;1985;AOL INC;;
2012;34;1985;AOL INC;;
2013;46;1985;AOL INC;;
2014;34;1985;AOL INC;;
2015;27;1985;AOL INC;737;AOL VENTURES
2010;285;1967;APPLIED MATERIALS INC;;
2011;347;1967;APPLIED MATERIALS INC;;
2012;325;1967;APPLIED MATERIALS INC;;
2013;431;1967;APPLIED MATERIALS INC;;
2014;563;1967;APPLIED MATERIALS INC;;
2015;312;1967;APPLIED MATERIALS INC;;
2010;14;2005;ASTELLAS PHARMA INC;;
2011;9;2005;ASTELLAS PHARMA INC;;
2012;18;2005;ASTELLAS PHARMA INC;;
2013;23;2005;ASTELLAS PHARMA INC;;
2014;15;2005;ASTELLAS PHARMA INC;;
2015;20;2005;ASTELLAS PHARMA INC;;
2010;66;1999;ASTRAZENECA PLC;;
2011;45;1999;ASTRAZENECA PLC;;
2012;36;1999;ASTRAZENECA PLC;;
2013;29;1999;ASTRAZENECA PLC;;
2014;25;1999;ASTRAZENECA PLC;;
2015;28;1999;ASTRAZENECA PLC;;
2010;16;1982;AUTODESK INC;;
2011;45;1982;AUTODESK INC;;
2012;45;1982;AUTODESK INC;;
2013;46;1982;AUTODESK INC;;
2014;28;1982;AUTODESK INC;;
2015;31;1982;AUTODESK INC;;
2010;557;1865;BASF SE;;
2011;473;1865;BASF SE;;
2012;529;1865;BASF SE;;
2013;512;1865;BASF SE;;
2014;404;1865;BASF SE;;
2015;240;1865;BASF SE;;
2010;85;1931;BAXTER INTERNATIONAL INC;;
2011;117;1931;BAXTER INTERNATIONAL INC;;
2012;68;1931;BAXTER INTERNATIONAL INC;;
2013;82;1931;BAXTER INTERNATIONAL INC;;
2014;37;1931;BAXTER INTERNATIONAL INC;;
2015;30;1931;BAXTER INTERNATIONAL INC;;
2010;132;1916;BAYER MOTOREN WERKE AG;;
2011;129;1916;BAYER MOTOREN WERKE AG;;
2012;151;1916;BAYER MOTOREN WERKE AG;;
2013;166;1916;BAYER MOTOREN WERKE AG;;
2014;239;1916;BAYER MOTOREN WERKE AG;;
2015;260;1916;BAYER MOTOREN WERKE AG;;
2010;12;1880;BEKAERT SA/NV;;
2011;17;1880;BEKAERT SA/NV;;
2012;13;1880;BEKAERT SA/NV;;
2013;8;1880;BEKAERT SA/NV;;
2014;5;1880;BEKAERT SA/NV;;
2015;3;1880;BEKAERT SA/NV;;
2010;4;1966;BEST BUY CO INC;;
2011;9;1966;BEST BUY CO INC;;
2012;18;1966;BEST BUY CO INC;;
2013;14;1966;BEST BUY CO INC;;
2014;13;1966;BEST BUY CO INC;;
2015;12;1966;BEST BUY CO INC;;
2010;23;1978;BIOGEN INC;;
2011;24;1978;BIOGEN INC;;
2012;34;1978;BIOGEN INC;;
2013;36;1978;BIOGEN INC;;
2014;24;1978;BIOGEN INC;;
2015;14;1978;BIOGEN INC;;
2010;47;1924;BP PLC;;
2011;41;1924;BP PLC;;
2012;37;1924;BP PLC;;
2013;45;1924;BP PLC;;
2014;39;1924;BP PLC;;
2015;32;1924;BP PLC;;
2010;25;1979;CERNER CORP;;
2011;23;1979;CERNER CORP;;
2012;21;1979;CERNER CORP;;
2013;16;1979;CERNER CORP;;
2014;22;1979;CERNER CORP;;
2015;23;1979;CERNER CORP;;
2010;226;1879;CHEVRON CORP;;
2011;226;1879;CHEVRON CORP;;
2012;192;1879;CHEVRON CORP;;
2013;210;1879;CHEVRON CORP;;
2014;190;1879;CHEVRON CORP;;
2015;188;1879;CHEVRON CORP;;
2010;612;1984;CISCO SYSTEMS INC;;
2011;736;1984;CISCO SYSTEMS INC;;
2012;752;1984;CISCO SYSTEMS INC;;
2013;835;1984;CISCO SYSTEMS INC;;
2014;867;1984;CISCO SYSTEMS INC;;
2015;672;1984;CISCO SYSTEMS INC;;
2010;8;1973;COMPUWARE CORP;;
2011;2;1973;COMPUWARE CORP;;
2012;1;1973;COMPUWARE CORP;;
2013;1;1973;COMPUWARE CORP;;
2014;1;1973;COMPUWARE CORP;737;COMPUWARE VENTURES
2015;1;1973;COMPUWARE CORP;737;COMPUWARE VENTURES
2010;453;2007;COVIDIEN PLC;;
2011;542;2007;COVIDIEN PLC;;
2012;663;2007;COVIDIEN PLC;;
2013;713;2007;COVIDIEN PLC;;
2014;549;2007;COVIDIEN PLC;;
2015;461;2007;COVIDIEN PLC;384;COVIDIEN VENTURES
2010;165;1984;DELL TECHNOLOGIES INC;;
2011;200;1984;DELL TECHNOLOGIES INC;;
2012;343;1984;DELL TECHNOLOGIES INC;;
2013;467;1984;DELL TECHNOLOGIES INC;357;
2014;452;1984;DELL TECHNOLOGIES INC;357;
2015;598;1984;DELL TECHNOLOGIES INC;357;
2010;81;1995;DEUTSCHE TELEKOM;;
2011;82;1995;DEUTSCHE TELEKOM;;
2012;51;1995;DEUTSCHE TELEKOM;;
2013;67;1995;DEUTSCHE TELEKOM;;
2014;76;1995;DEUTSCHE TELEKOM;;
2015;109;1995;DEUTSCHE TELEKOM;;
2010;387;1802;DU PONT (E I) DE NEMOURS;;
2011;375;1802;DU PONT (E I) DE NEMOURS;;
2012;329;1802;DU PONT (E I) DE NEMOURS;;
2013;243;1802;DU PONT (E I) DE NEMOURS;;
2014;155;1802;DU PONT (E I) DE NEMOURS;;
2015;94;1802;DU PONT (E I) DE NEMOURS;;
2010;395;1897;DOWDUPONT INC;;
2011;439;1897;DOWDUPONT INC;;
2012;436;1897;DOWDUPONT INC;;
2013;545;1897;DOWDUPONT INC;;
2014;438;1897;DOWDUPONT INC;;
2015;281;1897;DOWDUPONT INC;;
2010;285;1892;EASTMAN KODAK CO;;
2011;284;1892;EASTMAN KODAK CO;;
2012;300;1892;EASTMAN KODAK CO;;
2013;158;1892;EASTMAN KODAK CO;;
2014;192;1892;EASTMAN KODAK CO;;
2015;62;1892;EASTMAN KODAK CO;;
2010;286;1979;EMC CORP/MA;;
2011;481;1979;EMC CORP/MA;;
2012;724;1979;EMC CORP/MA;;
2013;730;1979;EMC CORP/MA;;
2014;475;1979;EMC CORP/MA;;
2015;513;1979;EMC CORP/MA;;
2010;162;2006;EVONIK INDUSTRIES AG;;
2011;141;2006;EVONIK INDUSTRIES AG;;
2012;148;2006;EVONIK INDUSTRIES AG;;
2013;118;2006;EVONIK INDUSTRIES AG;;
2014;114;2006;EVONIK INDUSTRIES AG;;
2015;91;2006;EVONIK INDUSTRIES AG;;
2010;0;1992;FOSUN INTERNATIONAL LTD;;
2011;0;1992;FOSUN INTERNATIONAL LTD;;
2012;0;1992;FOSUN INTERNATIONAL LTD;;
2013;0;1992;FOSUN INTERNATIONAL LTD;;
2014;1;1992;FOSUN INTERNATIONAL LTD;;
2015;0;1992;FOSUN INTERNATIONAL LTD;;
2010;1418;1908;GENERAL MOTORS CO;;
2011;1357;1908;GENERAL MOTORS CO;;
2012;1172;1908;GENERAL MOTORS CO;;
2013;1155;1908;GENERAL MOTORS CO;;
