"";"gvkey";"parent_company"
"1";"007435";"3M CO"
"2";"001078";"ABBOTT LABORATORIES"
"3";"016101";"ABBVIE INC"
"4";"143357";"ACCENTURE PLC"
"5";"012540";"ADOBE INC"
"6";"001161";"ADVANCED MICRO DEVICES"
"7";"126554";"AGILENT TECHNOLOGIES INC"
"8";"160329";"ALPHABET INC"
"9";"008543";"ALTRIA GROUP INC"
"10";"064768";"AMAZON.COM INC"
"11";"001602";"AMGEN INC"
"12";"183920";"AOL INC"
"13";"001704";"APPLIED MATERIALS INC"
"14";"009899";"AT&T INC"
"15";"001878";"AUTODESK INC"
"16";"002086";"BAXTER INTERNATIONAL INC"
"17";"002111";"BECTON DICKINSON & CO"
"18";"002184";"BEST BUY CO INC"
"19";"024468";"BIOGEN INC"
"20";"002285";"BOEING CO"
"21";"164408";"BOULDER BRANDS INC"
"22";"002663";"CAMPBELL SOUP CO"
"23";"002817";"CATERPILLAR INC"
"24";"012850";"CERNER CORP"
"25";"002991";"CHEVRON CORP"
"26";"020779";"CISCO SYSTEMS INC"
"27";"026011";"COMPUWARE CORP"
"28";"012884";"COMVERSE TECHNOLOGY INC"
"29";"008549";"CONOCOPHILLIPS"
"30";"185646";"CORNERSTONE ONDEMAND INC"
"31";"177264";"COVIDIEN PLC"
"32";"014489";"DELL TECHNOLOGIES INC"
"33";"004060";"DOWDUPONT INC"
"34";"029392";"EASTMAN CHEMICAL CO"
"35";"004194";"EASTMAN KODAK CO"
"36";"012053";"EMC CORP/MA"
"37";"004926";"FULLER (H. B.) CO"
"38";"005071";"GENERAL MILLS INC"
"39";"005073";"GENERAL MOTORS CO"
"40";"022260";"HCA HEALTHCARE INC"
"41";"026156";"HEWLETT PACKARD ENTERPRISE"
"42";"005650";"HITACHI LTD"
"43";"001300";"HONEYWELL INTERNATIONAL INC"
"44";"138205";"ILLUMINA INC"
"45";"211009";"INFOSYS LTD"
"46";"006008";"INTEL CORP"
"47";"006066";"INTL BUSINESS MACHINES CORP"
"48";"164416";"IROBOT CORP"
"49";"006266";"JOHNSON & JOHNSON"
"50";"006268";"JOHNSON CONTROLS INTL PLC"
"51";"121718";"JUNIPER NETWORKS INC"
"52";"006375";"KELLOGG CO"
"53";"006304";"KLA-TENCOR CORP"
"54";"006730";"LILLY (ELI) & CO"
"55";"006774";"LOCKHEED MARTIN CORP"
"56";"006829";"LOWE'S COMPANIES INC"
"57";"014256";"MAXIM INTEGRATED PRODUCTS"
"58";"007171";"MCKESSON CORP"
"59";"007257";"MERCK & CO"
"60";"007343";"MICRON TECHNOLOGY INC"
"61";"012141";"MICROSOFT CORP"
"62";"140760";"MONSANTO CO"
"63";"186106";"MOTOROLA MOBILITY HLDGS INC"
"64";"007585";"MOTOROLA SOLUTIONS INC"
"65";"001661";"NABORS INDUSTRIES LTD"
"66";"223911";"NTT DOCOMO INC"
"67";"117768";"NVIDIA CORP"
"68";"008530";"PFIZER INC"
"69";"024800";"QUALCOMM INC"
"70";"009135";"RICOH CO LTD"
"71";"157855";"SALESFORCE.COM INC"
"72";"061513";"SANDISK CORP"
"73";"101204";"SANOFI"
"74";"009465";"SCHLUMBERGER LTD"
"75";"171007";"SERVICENOW INC"
"76";"212340";"SHIRE PLC"
"77";"010016";"STANLEY BLACK & DECKER INC"
"78";"015855";"SYMANTEC CORP"
"79";"100135";"TATE & LYLE PLC"
"80";"010499";"TEXAS INSTRUMENTS INC"
"81";"018872";"TWITTER INC"
"82";"010787";"TYCO INTERNATIONAL PLC"
"83";"010793";"TYSON FOODS INC  -CL A"
"84";"024803";"VITESSE SEMICONDUCTOR CORP"
"85";"011399";"WESTERN DIGITAL CORP"
"86";"015044";"WORKDAY INC"
"87";"022325";"XILINX INC"
"88";"024405";"ZEBRA TECHNOLOGIES CP  -CL A"
"89";"224606";"DRILLISCH AG - OLD"
"90";"210418";"ABB LTD"
"91";"221244";"ADIDAS AG"
"92";"101352";"ALCATEL-LUCENT"
"93";"286670";"ALIBABA.COM LTD"
"94";"278216";"AMOREPACIFIC CORP"
"95";"241637";"ANHEUSER-BUSCH INBEV"
"96";"100668";"ASTELLAS PHARMA INC"
"97";"028272";"ASTRAZENECA PLC"
"98";"017436";"BASF SE"
"99";"100743";"BEKAERT SA/NV"
"100";"100022";"BAYER MOTOREN WERKE AG"
"101";"002410";"BP PLC"
"102";"204671";"CEZ AS"
"103";"017452";"DANONE"
"104";"249298";"DENTSU INC"
"105";"221614";"DEUTSCHE BAHN AG"
"106";"221616";"DEUTSCHE TELEKOM"
"107";"242200";"DIGITAL GARAGE INC"
"108";"100590";"E.ON SE"
"109";"004439";"TELEFONAKTIEBOLAGET LM ERICS"
"110";"216524";"ENBW ENERGIE BADEN"
"111";"201794";"ENEL SPA"
"112";"220942";"ENGIE SA"
"113";"220546";"EQUINOR ASA"
"114";"295421";"EVONIK INDUSTRIES AG"
"115";"277006";"FOSUN INTERNATIONAL LTD"
"116";"005180";"GLAXOSMITHKLINE PLC"
"117";"322597";"INNOGY SE"
"118";"201584";"KDDI CORP"
"119";"102454";"KONINKLIJKE DSM NV"
"120";"061440";"KONINKLIJKE KPN NV"
"121";"100103";"DEUTSCHE LUFTHANSA AG"
"122";"100021";"MITSUBISHI TANABE PHARMA"
"123";"007471";"MITSUI & CO LTD"
"124";"016603";"NESTLE SA/AG"
"125";"023671";"NOKIA CORP"
"126";"101310";"NOVARTIS AG"
"127";"008020";"NOVO NORDISK A/S"
"128";"244409";"OHB SE"
"129";"007114";"PANASONIC CORP"
"130";"236259";"RAKUTEN INC"
"131";"104761";"RANDSTAD NV"
"132";"100338";"RELX PLC"
"133";"025648";"ROCHE HOLDING AG"
"134";"012384";"ROYAL DUTCH SHELL PLC"
"135";"101305";"SAFRAN SA"
"136";"104604";"SAMSUNG ELECTRONICS CO LTD"
"137";"228096";"SANOMA CORP"
"138";"103487";"SAP SE"
"139";"248963";"SAUDI BASIC INDUSTRIES CORP"
"140";"101336";"SCHNEIDER ELECTRIC SA"
"141";"019349";"SIEMENS AG"
"142";"208095";"SINGAPORE TELECOMMUNICATIONS"
"143";"203480";"SK TELECOM CO LTD"
"144";"204222";"SOFTBANK GROUP CORP"
"145";"009818";"SONY CORP"
"146";"114927";"SWISSCOM AG"
"147";"241216";"SYNGENTA AG"
"148";"100718";"TAKEDA PHARMACEUTICAL CO"
"149";"203890";"TATA MOTORS LTD"
"150";"019151";"TELECOM ITALIA SPA"
"151";"013683";"TELEFONICA SA"
"152";"221612";"TELENOR ASA"
"153";"210216";"TELSTRA CORP LTD"
"154";"270615";"TENCENT HOLDINGS LTD"
"155";"013556";"THALES"
"156";"100658";"TOKYO ELECTRON LTD"
"157";"024625";"TOTAL SA"
"158";"010846";"UNILEVER NV"
"159";"209341";"UNITED MICROELECTRONICS CORP"
"160";"014894";"VODAFONE GROUP PLC"
"161";"011217";"VOLVO AB"
"162";"214509";"YAHOO JAPAN CORP"
